id_comentario,contenido,fecha_comentario,usuario_id,publicacion_id
1,"¡Qué increíble publicación! Me ha servido mucho para entender el concepto.
Es exactamente lo que estaba buscando hoy.",2025-02-10 00:00:00,47,1
2,"No estoy del todo de acuerdo con este enfoque. Creo que hay formas más
eficientes de resolver este problema técnico.",2025-02-10 01:00:00,11,4
3,"Excelente aporte, compañero. Gracias por compartir tu conocimiento con
nosotros en este espacio académico.",2025-02-10 02:00:00,28,30
4,"Me gustaría saber más sobre la implementación de este algoritmo. ¿Podrías
adjuntar algún ejemplo de código adicional?",2025-02-10 03:00:00,39,24
5,"Totalmente de acuerdo con lo que expones aquí. Es un punto clave que
suelen olvidar en los cursos de bases de datos.",2025-02-10 04:00:00,1,15
6,"¡Buen trabajo! Se nota el esfuerzo en la redacción y en la claridad
de los conceptos técnicos explicados.",2025-02-10 05:00:00,1,39
7,"Tengo una duda con respecto a la parte final del post. ¿Cómo se relaciona
esto con la persistencia en Cassandra?",2025-02-10 06:00:00,4,22
8,"Me parece una solución muy elegante. La voy a aplicar en mi proyecto
final para mejorar el rendimiento del sistema.",2025-02-10 07:00:00,48,38
9,"¿Podrías profundizar más en las ventajas de usar esta arquitectura frente
a una relacional pura? Me interesa mucho.",2025-02-10 08:00:00,49,201
10,"Muy claro el ejemplo, aunque me costó un poco seguir la lógica al principio.
Después de leerlo dos veces, todo encajó.",2025-02-10 09:00:00,20,3
11,"Gracias por tomarte el tiempo de explicar esto. Es un tema complejo y
lo has hecho muy accesible para todos.",2025-02-10 10:00:00,10,29
12,"Interesante perspectiva. No había considerado el uso de Redis para
optimizar consultas tan frecuentes como esta.",2025-02-10 11:00:00,88,201
13,"El nivel de detalle es fantástico. Ojalá todas las guías de estudio
fueran tan precisas y directas como esta.",2025-02-10 12:00:00,89,16
14,"¿Alguien más está teniendo problemas al ejecutar el script en Docker? A mí
me arroja un error de puertos ocupados.",2025-02-10 13:00:00,8,19
15,"He seguido todos los pasos pero el contenedor no levanta correctamente.
¿Alguna sugerencia sobre qué revisar?",2025-02-10 14:00:00,5,201
16,"Este contenido es justo lo que necesitábamos para preparar el examen
de Bases de Datos II. ¡Mil gracias!",2025-02-10 15:00:00,37,25
17,"La explicación sobre los nodos de Cassandra me abrió los ojos sobre
la escalabilidad horizontal en grandes sistemas.",2025-02-10 16:00:00,30,41
18,"Muy buena estructura. Me gusta cómo conectas los conceptos teóricos
con la práctica en el entorno real.",2025-02-10 17:00:00,10,39
19,"¿Qué versión de Python recomiendas para evitar conflictos con las
librerías de PyQt6? Gracias de antemano.",2025-02-10 18:00:00,8,48
20,"Me parece un tema fundamental. La parte de la normalización es crítica
para evitar los problemas que mencionas.",2025-02-10 19:00:00,50,22
21,"Estoy aplicando este modelo en mi trabajo y ha funcionado de maravilla.
Gracias por compartir estos tips tan útiles.",2025-02-10 20:00:00,48,6
22,"¿Crees que esta arquitectura es escalable para millones de usuarios?
Tengo dudas sobre la latencia en MongoDB.",2025-02-10 21:00:00,37,7
23,"Qué buen artículo. Me ayudó a organizar mejor mis ideas sobre el
diseño de sistemas distribuidos.",2025-02-10 22:00:00,42,5
