id_amistad,fecha_amistad,estado,usuario_solicitante_id,usuario_receptor_id
1,2025-01-15,ACEPTADA,16,38
2,2025-01-16,PENDIENTE,41,8
3,2025-01-17,PENDIENTE,21,27
4,2025-01-18,PENDIENTE,11,38
5,2025-01-19,ACEPTADA,14,1
6,2025-01-20,ACEPTADA,14,50
7,2025-01-21,ACEPTADA,48,47
8,2025-01-22,PENDIENTE,7,21
9,2025-01-23,PENDIENTE,25,42
10,2025-01-24,PENDIENTE,44,12
11,2025-01-25,PENDIENTE,7,14
12,2025-01-26,ACEPTADA,26,37
13,2025-01-27,ACEPTADA,39,1
14,2025-01-28,ACEPTADA,19,42
15,2025-01-29,PENDIENTE,15,48
16,2025-01-30,PENDIENTE,14,44
17,2025-01-31,ACEPTADA,39,49
18,2025-02-01,PENDIENTE,8,19
19,2025-02-02,PENDIENTE,6,22
20,2025-02-03,ACEPTADA,40,21
21,2025-02-04,ACEPTADA,25,33
22,2025-02-05,ACEPTADA,30,23
23,2025-02-06,PENDIENTE,32,8
24,2025-02-07,PENDIENTE,2,25
25,2025-02-08,PENDIENTE,15,18
26,2025-02-09,ACEPTADA,22,5
27,2025-02-10,PENDIENTE,42,20
28,2025-02-11,ACEPTADA,47,21
29,2025-02-12,ACEPTADA,41,28
30,2025-02-13,PENDIENTE,29,22
31,2025-02-14,PENDIENTE,18,20
32,2025-02-15,PENDIENTE,7,35
33,2025-02-16,ACEPTADA,7,42
34,2025-02-17,ACEPTADA,2,24
35,2025-02-18,ACEPTADA,23,29
36,2025-02-19,PENDIENTE,36,41
37,2025-02-20,ACEPTADA,35,40
38,2025-02-21,PENDIENTE,3,14
39,2025-02-22,ACEPTADA,7,23
40,2025-02-23,ACEPTADA,35,12
41,2025-02-24,PENDIENTE,19,44
42,2025-02-25,PENDIENTE,20,39
43,2025-02-26,ACEPTADA,35,26
44,2025-02-27,ACEPTADA,14,38
45,2025-02-28,PENDIENTE,11,50
46,2025-03-01,ACEPTADA,37,47
47,2025-03-02,PENDIENTE,20,7
48,2025-03-03,ACEPTADA,33,25
49,2025-03-04,PENDIENTE,24,8
50,2025-03-05,ACEPTADA,4,9
