id_publicacion,texto_contenido,fecha_publicacion,likes_contador,autor_id
1,Contenido del post número 1,2025-02-01 00:00:00,13,25
2,Contenido del post número 2,2025-02-01 01:00:00,68,24
3,Contenido del post número 3,2025-02-01 02:00:00,38,3
4,Contenido del post número 4,2025-02-01 03:00:00,12,15
5,Contenido del post número 5,2025-02-01 04:00:00,27,35
6,Contenido del post número 6,2025-02-01 05:00:00,47,31
7,Contenido del post número 7,2025-02-01 06:00:00,94,36
8,Contenido del post número 8,2025-02-01 07:00:00,90,27
9,Contenido del post número 9,2025-02-01 08:00:00,70,101
10,Contenido del post número 10,2025-02-01 09:00:00,12,1
11,Contenido del post número 11,2025-02-01 10:00:00,100,18
12,Contenido del post número 12,2025-02-01 11:00:00,83,7
13,Contenido del post número 13,2025-02-01 12:00:00,48,38
14,Contenido del post número 14,2025-02-01 13:00:00,13,38
15,Contenido del post número 15,2025-02-01 14:00:00,59,13
16,Contenido del post número 16,2025-02-01 15:00:00,98,2
17,Contenido del post número 17,2025-02-01 16:00:00,34,2
18,Contenido del post número 18,2025-02-01 17:00:00,49,37
19,Contenido del post número 19,2025-02-01 18:00:00,99,9
20,Contenido del post número 20,2025-02-01 19:00:00,21,8
21,Contenido del post número 21,2025-02-01 20:00:00,99,11
22,Contenido del post número 22,2025-02-01 21:00:00,62,23
23,Contenido del post número 23,2025-02-01 22:00:00,23,34
24,Contenido del post número 24,2025-02-01 23:00:00,56,5
25,Contenido del post número 25,2025-02-02 00:00:00,100,29
26,Contenido del post número 26,2025-02-02 01:00:00,69,101
27,Contenido del post número 27,2025-02-02 02:00:00,25,99
28,Contenido del post número 28,2025-02-02 03:00:00,11,23
29,Contenido del post número 29,2025-02-02 04:00:00,0,5
30,Contenido del post número 30,2025-02-02 05:00:00,71,47
31,Contenido del post número 31,2025-02-02 06:00:00,44,22
32,Contenido del post número 32,2025-02-02 07:00:00,85,37
33,Contenido del post número 33,2025-02-02 08:00:00,25,35
34,Contenido del post número 34,2025-02-02 09:00:00,21,19
35,Contenido del post número 35,2025-02-02 10:00:00,36,11
36,Contenido del post número 36,2025-02-02 11:00:00,35,4
37,Contenido del post número 37,2025-02-02 12:00:00,11,14
38,Contenido del post número 38,2025-02-02 13:00:00,76,33
39,Contenido del post número 39,2025-02-02 14:00:00,61,25
40,Contenido del post número 40,2025-02-02 15:00:00,100,100
41,Contenido del post número 41,2025-02-02 16:00:00,64,21
42,Contenido del post número 42,2025-02-02 17:00:00,66,20
43,Contenido del post número 43,2025-02-02 18:00:00,51,22
44,Contenido del post número 44,2025-02-02 19:00:00,49,6
45,Contenido del post número 45,2025-02-02 20:00:00,36,36
46,Contenido del post número 46,2025-02-02 21:00:00,86,7
47,Contenido del post número 47,2025-02-02 22:00:00,53,29
48,Contenido del post número 48,2025-02-02 23:00:00,88,6
49,Contenido del post número 49,2025-02-03 00:00:00,67,35
50,Contenido del post número 50,2025-02-03 01:00:00,23,33
